Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Started,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count
6514074,"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",Robert M. Edsel,"Edsel, Robert M.",Bret Witter,1599951495,9.78E+12,0,3.78,Center Street,Hardcover,473,2009,2009,,,12/30/2016,to-read,to-read (#293),to-read,0
176837,Imagined London: A Tour of the World's Greatest Fictional City,Anna Quindlen,"Quindlen, Anna",,792242076,9.78E+12,0,3.31,National Geographic,Paperback,176,2006,2004,,,12/30/2016,to-read,to-read (#292),to-read,0
47530,Mapping the World of Harry Potter: Science Fiction and Fantasy Writers Explore the Bestselling Series of All Time,Mercedes Lackey,"Lackey, Mercedes","Leah Wilson, Adam-Troy Castro, Roxanne Longstreet Conrad, Elisabeth DeVos, Richard Garfinkle, Roberta Gellis, Marguerite Krause, Susan R. Matthews, Joyce Millman, Daniel P. Moloney, Lawrence Watt-Evans, Martha Wells, Sarah Zettel, James E. Gunn",1932100598,9.78E+12,0,4.31,Smart Pop,Paperback,195,2005,2005,,,12/1/2016,to-read,to-read (#289),to-read,0
17349163,"Sense & Sensibility (The Austen Project, #1)",Joanna Trollope,"Trollope, Joanna",,62200461,9.78E+12,0,3.5,Harper,Hardcover,362,2013,2013,,,12/1/2016,to-read,to-read (#288),to-read,0
15845605,"The Gatekeeper's Sons (Gatekeeper's Saga, #1)",Eva Pohler,"Pohler, Eva",,,,3,3.65,Green Press/Eva Pohler,Paperback,384,2012,2012,11/29/2016,11/30/2016,12/1/2016,,,read,1
12244583,"Crushed (The Witch-Game, #1)",K.C. Blake,"Blake, K.C.",,1463718764,9.78E+12,3,3.66,Createspace,Paperback,262,2011,2011,11/28/216,11/29/2016,11/28/2016,,,read,1
13634927,"A Leaf on the Wind of All Hallows (Outlander, #8.5)",Diana Gabaldon,"Gabaldon, Diana",,,,0,4.27,Dell,Kindle Edition,57,2012,2012,,,11/28/2016,to-read,to-read (#286),to-read,0
21418017,"The Space Between (Outlander, #7.5)",Diana Gabaldon,"Gabaldon, Diana",,,,0,4.25,Dell,Kindle Edition,118,2014,2012,,,11/28/2016,to-read,to-read (#285),to-read,0
18584855,Heartless,Marissa Meyer,"Meyer, Marissa",,1250044650,9.78E+12,0,4.07,Feiwel & Friends,Hardcover,453,2016,2016,,,11/15/2016,to-read,to-read (#284),to-read,0
26200563,Hamilton: The Revolution,Lin-Manuel Miranda,"Miranda, Lin-Manuel",Jeremy McCarter,1455539740,9.78E+12,5,4.45,Grand Central Publishing,Hardcover,285,2016,2015,11/5/2016,11/13/2016,11/14/2016,,,read,1
25855506,"Adulthood Is a Myth (Sarah's Scribbles, #1)",Sarah Andersen,"Andersen, Sarah",,1449474195,9.78E+12,0,4.12,Andrews McMeel Publishing,Paperback,112,2016,2016,,,11/8/2016,to-read,to-read (#283),to-read,0
25817804,First Women: The Grace and Power of America's Modern First Ladies,Kate Andersen Brower,"Brower, Kate Andersen",,62439650,9.78E+12,0,3.7,Harper,Hardcover,380,2016,2016,,,11/8/2016,to-read,to-read (#282),to-read,0
