book_id,title,author,additional_authors,isbn,isbn13,my_rating,average_rating,publisher,format,number_of_pages,original_publication_year,date_started,date_read,date_added,bookshelves,exclusive_shelf,read_count,type
18602406,"Yellow Brick War (Dorothy Must Die, #3)",Danielle  Paige,NA,62280732,9780000000000,3,3.81,HarperCollins,Hardcover,270,2016,2016-08-03,2016-08-06,2016-08-01,NA,read,1,JMH
16248113,"The School for Good and Evil (The School for Good and Evil, #1)",Soman Chainani,Iacopo Bruno,62104896,9780000000000,0,4.02,HarperCollins,Hardcover,488,2013,NA,NA,2016-08-03,to-read,to-read,0,JMH
20578940,"The Iron Trial (Magisterium, #1)",Holly Black,"Cassandra Clare, Scott Fischer",545522250,9780000000000,0,3.95,Scholastic Press,Hardcover,295,2014,NA,NA,2016-08-03,to-read,to-read,0,JMH
29056083,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,"Jack Thorne, J.K. Rowling",751565350,9780000000000,5,3.54,"Little, Brown",Hardcover,343,2016,2016-08-01,2016-08-02,2016-08-03,NA,read,1,JMH
22798836,"Dangerous Deception (Dangerous Creatures, #2)",Kami Garcia,Margaret Stohl,316370347,9780000000000,0,3.77,"Little, Brown Books for Young Readers",Hardcover,293,2015,NA,NA,2016-08-01,to-read,to-read,0,JMH
30653720,"The End of Oz (Dorothy Must Die, #4)",Danielle  Paige,NA,62423770,9780000000000,0,3.84,HarperCollins,Hardcover,277,2017,NA,NA,2016-08-01,to-read,to-read,0,JMH
18602341,"The Wicked Will Rise (Dorothy Must Die, #2)",Danielle  Paige,NA,62280708,9780000000000,3,3.79,HarperCollins,Hardcover,293,2015,2016-07-05,2016-07-29,2016-07-05,NA,read,1,JMH
24017512,"The Hidden Library (The Collectors' Society, #2)",Heather Lyons,NA,NA,9780000000000,3,4.34,Cerulean Books,ebook,NA,2015,2016-06-09,2016-06-25,2016-05-02,NA,read,1,JMH
18053060,"Dorothy Must Die (Dorothy Must Die, #1)",Danielle  Paige,NA,62280678,9780000000000,3,3.81,HarperCollins,Hardcover,452,2014,2016-06-09,2016-06-25,2013-11-12,NA,read,1,JMH
17028249,Truths and Roses,Inglath Cooper,NA,615701582,9780000000000,0,4.06,"Fence Free Entertainment, LLC",Paperback,296,1994,NA,NA,2013-01-14,to-read,to-read,0,JMH
8306857,"Divergent (Divergent, #1)",Veronica Roth,NA,62024027,9780000000000,4,4.16,Katherine Tegen Books,Hardcover,487,2011,2012-08-24,2012-08-26,2012-08-24,NA,read,1,JMH
22735431,"The Collectorsâ€™ Society (The Collectorsâ€™ Society, #1)",Heather Lyons,NA,NA,NA,4,4.15,Cerulean Books,ebook,355,2014,2016-04-29,2016-05-09,2016-05-02,NA,read,1,JMH
26074181,"The Crown (The Selection, #5)",Kiera Cass,NA,62392174,9780000000000,4,3.67,HarperTeen,Hardcover,278,2016,2016-05-03,2016-05-05,2016-02-09,NA,read,1,JMH
27177530,The Collectors' Society Encyclopedia,Heather Lyons,NA,099084367X,9780000000000,0,4.2,Cerulean Books,Paperback,76,2015,NA,NA,2016-05-02,to-read,to-read,0,JMH
29453893,"The Lost Codex (The Collectors' Society, #4)",Heather Lyons,NA,NA,NA,0,4.27,Cerulean Books,NA,NA,2016,NA,NA,2016-05-02,to-read,to-read,0,JMH
25392947,"The Forgotten Mountain (The Collectors' Society, #3)",Heather Lyons,NA,NA,NA,0,4.33,CeruleanBooks,ebook,NA,2015,NA,NA,2016-05-02,to-read,to-read,0,JMH
23006830,"Queen of Tomorrow (Stolen Empire, #2)",Sherry D. Ficklin,NA,1634220706,9780000000000,3,4.11,Clean Teen Publishing,Paperback,280,2015,2016-04-29,2016-05-02,2016-05-02,NA,read,1,JMH
22360786,"Queen of Someday (Stolen Empire, #1)",Sherry D. Ficklin,NA,1940534909,9780000000000,4,3.79,Clean Teen Publishing,Paperback,266,2014,2016-04-28,2016-04-28,2016-04-29,NA,read,1,JMH
22539933,"Germany, Russia, and the Rise of Geo-Economics",Stephen F. Szabo,NA,1472596323,9780000000000,0,4.18,Bloomsbury Academic,Hardcover,200,2014,NA,2015-05-20,2015-02-02,to-read,to-read,1,JMH
26402927,"Harmony Black (Harmony Black, #1)",Craig Schaefer,NA,NA,NA,0,3.87,47North,ebook,334,2016,NA,NA,2016-04-27,to-read,to-read,0,JMH
17343391,"Emerald Green (Precious Stone Trilogy, #3)",Kerstin Gier,Anthea Bell,805092676,9780000000000,4,4.19,Henry Holt and Co. (BYR),Hardcover,451,2010,2014-06-26,2014-06-27,2014-06-26,NA,read,1,JMH
12637458,"Sapphire Blue (Precious Stone Trilogy, #2)",Kerstin Gier,Anthea Bell,1250034167,9780000000000,4,4.17,Square Fish,Paperback,354,2010,2014-06-24,2014-06-25,2014-06-24,NA,read,1,JMH
24644814,"See How They Run (Embassy Row, #2)",Ally Carter,NA,NA,9780000000000,4,4.13,Scholastic Press,Hardcover,323,2015,2016-03-29,2016-03-30,2015-11-20,NA,read,1,JMH
22715829,When Books Went to War: The Stories that Helped Us Win World War II,Molly Guptill Manning,NA,544535022,9780000000000,0,3.88,Houghton Mifflin Harcourt,Hardcover,267,2014,NA,NA,2016-03-29,to-read,to-read,0,JMH
44449,"Cooking for Mr. Latte: A Food Lover's Courtship, with Recipes",Amanda Hesser,Izak,393325598,9780000000000,0,3.52,W. W. Norton  Company,Paperback,336,2003,NA,NA,2016-03-12,to-read,to-read,0,JMH
