gid,award_rank,award_votes,award_category,award_year,pages,date_published
9969571,12,1032,Goodreads Author,2011,374,2011-08-16
8235178,13,864,Goodreads Author,2011,399,2011-01-11
9369720,14,843,Goodreads Author,2011,420,2011-06-14
8428064,15,799,Goodreads Author,2011,359,2011-03-22
8709527,16,796,Goodreads Author,2011,421,2011-08-23
8058301,17,628,Goodreads Author,2011,481,2011-07-26
10140661,18,248,Goodreads Author,2011,506,2011-04-04
11505797,19,223,Goodreads Author,2011,319,2011-05-26
9673936,20,149,Goodreads Author,2011,352,2011-08-02
13497818,1,11525,Fiction,2012,503,2012-09-27
12987977,2,7841,Fiction,2012,372,2012-07-24
12022079,3,6072,Fiction,2012,390,2012-01-31
12852666,4,5531,Fiction,2012,272,2012-06-26
13503109,5,4913,Fiction,2012,217,2012-09-11
12875258,6,4709,Fiction,2012,360,2012-06-19
13538873,7,4590,Fiction,2012,288,2012-10-02
11447921,8,4140,Fiction,2012,337,2012-06-12
13538552,9,3889,Fiction,2012,311,NA
10960383,10,3878,Fiction,2012,322,2012-01-25
13227454,11,2731,Fiction,2012,320,2012-07-24
13330761,12,2165,Fiction,2012,336,2012-08-07
13438524,13,1817,Fiction,2012,436,2012-11-06
13057939,14,1581,Fiction,2012,322,2012-08-07
11529868,15,1554,Fiction,2012,443,2012-01-10
11092210,16,762,Fiction,2012,365,2012-01-03
11469379,17,472,Fiction,2012,371,2012-01-03
10756240,18,392,Fiction,2012,465,2012-09-11
12872236,19,216,Fiction,2012,420,2012-05-22
13325079,20,149,Fiction,2012,307,2012-05-01
12837725,1,27502,Mystery & Thriller,2012,419,2012-06-05
11890813,2,6364,Mystery & Thriller,2012,389,NA
12870486,3,5243,Mystery & Thriller,2012,392,2012-05-07
11367726,4,5196,Mystery & Thriller,2012,421,2012-01-31
13513646,5,4242,Mystery & Thriller,2012,373,2012-08-28
13390528,6,3734,Mystery & Thriller,2012,406,2012-07-17
13112023,7,3475,Mystery & Thriller,2012,379,2012-06-26
13148921,8,3371,Mystery & Thriller,2012,464,2012-06-26
13123877,9,3362,Mystery & Thriller,2012,450,NA
12405126,10,2904,Mystery & Thriller,2012,257,NA
12849385,11,2024,Mystery & Thriller,2012,422,2012-04-17
12922320,12,1948,Mystery & Thriller,2012,448,2012-07-03
11165711,13,1705,Mystery & Thriller,2012,389,2012-03-26
11737271,14,1670,Mystery & Thriller,2012,387,2012-03-20
11889938,15,1161,Mystery & Thriller,2012,341,2012-01-24
13482355,16,909,Mystery & Thriller,2012,309,2012-09-11
13117308,17,674,Mystery & Thriller,2012,371,2012-07-24
13359069,18,454,Mystery & Thriller,2012,405,2012-09-11
13330537,19,454,Mystery & Thriller,2012,266,2012-09-04
13256064,20,404,Mystery & Thriller,2012,378,2012-10-02
13158800,1,6918,Historical Fiction,2012,343,2012-07-31
13507212,2,6516,Historical Fiction,2012,412,2012-05-08
13508607,3,5662,Historical Fiction,2012,484,2012-10-09
11250053,4,4956,Historical Fiction,2012,386,2012-02-01
11940907,5,4360,Historical Fiction,2012,321,2012-01-17
13127599,6,3889,Historical Fiction,2012,475,2012-04-03
13623012,7,3633,Historical Fiction,2012,278,2012-07-10
13056159,8,2952,Historical Fiction,2012,367,NA
12160906,9,2691,Historical Fiction,2012,352,2012-05-08
13330603,10,2564,Historical Fiction,2012,299,2012-07-17
12002819,11,1805,Historical Fiction,2012,443,2012-01-24
12693886,12,1553,Historical Fiction,2012,321,2012-02-28
